restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
The Modak,Quick Bites,3.6,18,400.0,Yes,No,"North Indian, Street Food, Desserts, Chinese",Bellandur,Bellandur,Good
The Momo Farm,Quick Bites,3.7,25,300.0,Yes,No,"Chinese, Tibetan",New Bel Road,Jalahalli,Good
The Monalisa Restaurant,Quick Bites,3.3,4,300.0,Yes,No,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
The Mughal's,Quick Bites,3.7,89,400.0,Yes,No,"Mughlai, North Indian, Chinese",Brigade Road,Frazer Town,Good
The Munch Box,Quick Bites,2.8,40,300.0,No,No,"American, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,Poor
The Mylapore Cafe,Quick Bites,3.7,23,150.0,No,No,South Indian,Koramangala 4Th Block,Koramangala 1St Block,Good
The Nest - The Den Bengaluru,"Bar, Casual Dining",3.4,13,1500.0,No,No,"Finger Food, North Indian, Continental",Whitefield,"Itpl Main Road, Whitefield",Average
The Night King,"Takeaway, Delivery",3.3,4,400.0,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Average
The Night Watch Express,"Takeaway, Delivery",3.0,53,500.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average
The North and South Restaurant,"Takeaway, Delivery",3.2,15,400.0,Yes,No,"North Indian, Chinese, South Indian",Brookefield,Whitefield,Average
The Nosh House,Delivery,4.3,220,600.0,Yes,No,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",Bellandur,Sarjapur Road,Very nice
The Ocean Kitchen,Quick Bites,2.8,40,200.0,No,No,"North Indian, Chinese, Seafood, South Indian",Bannerghatta Road,Bannerghatta Road,Poor
The Old Fashioned Bar,Bar,4.5,569,1000.0,No,Yes,"Finger Food, North Indian, Continental",Koramangala 4Th Block,Koramangala 6Th Block,Very nice
The Only Place,Casual Dining,4.2,2923,1000.0,Yes,Yes,"Italian, American, Steak, Continental, Bbq, Salad",Brigade Road,Church Street,Very nice
The Onyx - The HHI Select Bengaluru,Casual Dining,3.3,177,950.0,No,No,"North Indian, Chinese, Continental",Bannerghatta Road,Jp Nagar,Average
The Open Box,"Casual Dining, Bar",4.2,2270,1400.0,Yes,Yes,"European, North Indian, Mediterranean, Asian, Salad",Brigade Road,St. Marks Road,Very nice
The Open Cafe,Cafe,3.7,15,500.0,Yes,No,"Cafe, Chinese, Continental","Byresandra,Tavarekere,Madiwala",Hsr,Good
The Orchard,Casual Dining,4.0,672,900.0,Yes,Yes,North Indian,Malleshwaram,Sadashiv Nagar,Very nice
The Orchid,Casual Dining,3.7,55,1400.0,No,No,"North Indian, Continental",Rajajinagar,Majestic,Good
The Oriental Spice - Ashraya Hotel,Casual Dining,3.8,159,1300.0,Yes,No,"Chinese, Thai, Indonesian",Residency Road,Infantry Road,Good
The Original Bistro,Casual Dining,4.1,71,600.0,No,No,"Italian, Beverages",Kalyan Nagar,Kalyan Nagar,Very nice
The Pakoda Shop,Delivery,3.4,12,150.0,Yes,No,Street Food,Kalyan Nagar,Kalyan Nagar,Average
The Pallavas ( Authentic Taste Of Southern Cuisine ),Quick Bites,3.7,24,400.0,Yes,No,South Indian,Brookefield,Brookefield,Good
The Pallet,"Microbrewery, Pub",4.5,2745,1600.0,No,Yes,"Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos",Whitefield,Whitefield,Very nice
The Pancake Story,Dessert Parlor,4.6,117,300.0,Yes,No,"Desserts, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Very nice
The Paramount Hotel,Casual Dining,2.9,319,1000.0,Yes,No,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",Indiranagar,Domlur,Poor
The Paratha Company,Delivery,4.2,402,400.0,Yes,No,North Indian,Brookefield,Whitefield,Very nice
The Paratha Stories,Delivery,3.3,35,400.0,Yes,No,North Indian,Bellandur,Koramangala 1St Block,Average
The Paratha Studio,Quick Bites,2.8,40,200.0,No,No,North Indian,Sarjapur Road,Bellandur,Poor
The Park East 01,Casual Dining,3.8,53,750.0,No,No,"North Indian, Chinese",Malleshwaram,Race Course Road,Good
The Park Inn Restaurant,Quick Bites,3.0,18,450.0,No,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Average
The Parotta Master,Delivery,2.9,43,400.0,Yes,No,South Indian,Indiranagar,Jeevan Bhima Nagar,Poor
The Parrot House,Quick Bites,2.8,40,200.0,No,No,"North Indian, Sandwich, Beverages",Whitefield,Whitefield,Poor
The Pastry House,Bakery,3.8,60,400.0,Yes,No,"Bakery, Desserts",Electronic City,Electronic City,Good
The Pastry Inn,Bakery,3.5,24,300.0,Yes,No,Bakery,Malleshwaram,Sanjay Nagar,Good
The Pavillion,Casual Dining,2.7,43,1000.0,No,No,"North Indian, Continental, South Indian, Chinese",Bannerghatta Road,Jp Nagar,Poor
The Perfect Stop,Quick Bites,3.5,11,300.0,No,No,"Italian, Fast Food, Pizza",Lavelle Road,Shanti Nagar,Good
The Permit Room,"Casual Dining, Bar",4.5,1573,1500.0,No,No,South Indian,Brigade Road,Brigade Road,Very nice
The Persian Terrace - Sheraton Grand Bangalore Hotel...,Fine Dining,4.2,563,2500.0,No,Yes,"Lebanese, Mediterranean, Afghan",Malleshwaram,Malleshwaram,Very nice
The Pipe Rack,Casual Dining,3.7,38,700.0,No,No,Cafe,Kammanahalli,Kalyan Nagar,Good
The Pizza Bakery,Casual Dining,4.8,1724,1200.0,Yes,Yes,"Italian, Pizza, Beverages",Indiranagar,Indiranagar,Very nice
The Pizzeria,Casual Dining,2.8,45,800.0,Yes,No,"Pizza, Italian, Salad",Banashankari,Banashankari,Poor
The Platonic Cafe,Cafe,2.8,40,500.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City,Poor
The Podium Sports Bar,Bar,3.8,24,1200.0,No,No,Finger Food,Brookefield,Marathahalli,Good
The Pump House,Microbrewery,4.3,680,1500.0,No,No,"Continental, Finger Food",Jp Nagar,Jp Nagar,Very nice
The Punjabi,Casual Dining,2.9,32,550.0,Yes,No,"North Indian, Mughlai, Biryani, Chinese",Bellandur,Bellandur,Poor
The Punjabi Bites,Quick Bites,3.9,82,150.0,No,No,North Indian,Indiranagar,Old Airport Road,Good
The Punjabi Park,Casual Dining,3.5,31,500.0,Yes,No,North Indian,Whitefield,Whitefield,Good
The Punjabi Rasoi,Casual Dining,2.8,40,800.0,No,No,North Indian,Bannerghatta Road,Jp Nagar,Poor
The Purple Pan,Casual Dining,4.1,500,600.0,Yes,No,"North Indian, Chinese",Malleshwaram,Rajajinagar,Very nice
The Raj Pavilion - ITC Windsor,Fine Dining,4.2,371,2400.0,No,Yes,"North Indian, Continental, Asian",Malleshwaram,Sankey Road,Very nice
The Rasaganga,Casual Dining,3.6,409,500.0,Yes,No,"South Indian, North Indian, Chinese, Street Food",Sarjapur Road,Bellandur,Good
The Rasoi,Casual Dining,3.7,33,650.0,No,No,"North Indian, Chinese, Hyderabadi",Malleshwaram,Seshadripuram,Good
The Rasoiya Street,Casual Dining,4.1,1318,800.0,Yes,Yes,"North Indian, Continental, Mediterranean, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,Very nice
The Red Lantern,Casual Dining,3.7,82,800.0,Yes,No,"Chinese, Momos",Kammanahalli,Banaswadi,Good
The Red Tandoor,Quick Bites,3.2,6,400.0,Yes,No,"Chinese, North Indian",Marathahalli,Marathahalli,Average
The Rendezvous,Casual Dining,3.7,483,800.0,Yes,No,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Good
The Rennan's Cafe,Quick Bites,2.9,48,250.0,Yes,No,"Chinese, Fast Food, Momos",Frazer Town,Kammanahalli,Poor
The Reservoire,"Bar, Casual Dining",4.5,2540,1300.0,No,Yes,"Continental, North Indian, Chinese, American, Pizza, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
The Restaurant,Casual Dining,3.7,23,1200.0,No,No,"Continental, Chinese, North Indian",Brookefield,Marathahalli,Good
The Restaurant - Coorg,Casual Dining,4.3,504,1100.0,No,Yes,South Indian,Indiranagar,Indiranagar,Very nice
The Retro,Quick Bites,3.2,47,300.0,Yes,No,"Chinese, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Average
The Rice Bowl,"Casual Dining, Bar",4.3,500,1300.0,Yes,Yes,"Chinese, Momos",Brigade Road,Lavelle Road,Very nice
The Rice Company,Delivery,2.8,40,500.0,No,No,North Indian,Marathahalli,Marathahalli,Poor
The Rich Crust,Cafe,3.8,43,600.0,Yes,No,"Cafe, European, Continental",New Bel Road,Sahakara Nagar,Good
THE RIG,"Microbrewery, Casual Dining",4.3,1585,1500.0,No,Yes,"Continental, Finger Food, Pizza",Bellandur,Sarjapur Road,Very nice
The Ritz-Carlton Bar - The Ritz-Carlton,Lounge,4.0,93,2000.0,No,No,Finger Food,Brigade Road,Residency Road,Very nice
The Roastery,Cafe,4.3,167,500.0,No,No,Cafe,Kalyan Nagar,Kalyan Nagar,Very nice
The Rogue Elephant,Casual Dining,4.3,1037,1000.0,No,Yes,"Desserts, Asian, Beverages",Basavanagudi,Basavanagudi,Very nice
The Rolling Pin,"Bakery, Dessert Parlor",4.0,74,400.0,No,No,"Bakery, Desserts",Indiranagar,Indiranagar,Very nice
The RoofTop,Casual Dining,3.3,4,1000.0,No,No,"North Indian, Asian, Mediterranean",Brigade Road,St. Marks Road,Average
The Royal Corner - Pai Viceroy,Casual Dining,4.2,815,900.0,Yes,Yes,"North Indian, Chinese",Banashankari,Jayanagar,Very nice
The Salad Studio,Cafe,4.0,107,400.0,Yes,No,"Cafe, Healthy Food, Salad",Bellandur,Bellandur,Very nice
The Salt Grill - Hilton Bangalore Embassy Golflinks,Fine Dining,4.1,94,3000.0,No,Yes,"European, Mediterranean, Salad",Koramangala 4Th Block,Domlur,Very nice
The Sanctuary,Cafe,3.9,61,450.0,No,No,"Cafe, Fast Food",Frazer Town,Banaswadi,Good
The Sandesh Factory,Sweet Shop,3.2,4,150.0,No,No,"Mithai, Desserts",Bannerghatta Road,Bannerghatta Road,Average
The Sandwich Club,Quick Bites,3.9,88,250.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Hsr,Good
The Second Wife,Casual Dining,3.7,68,800.0,Yes,No,"South Indian, Andhra, Biryani",Kalyan Nagar,Hennur,Good
The Shake Factory Originals,"Beverage Shop, Quick Bites",3.3,8,200.0,No,No,"Beverages, Fast Food",Bannerghatta Road,Bannerghatta Road,Average
The Shawarma Inc,Quick Bites,3.3,94,200.0,Yes,No,"Arabian, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
The Shawarma Shop,Quick Bites,2.8,40,250.0,No,No,Arabian,Hsr,Koramangala 4Th Block,Poor
The Sip Shop,Quick Bites,2.8,40,200.0,Yes,No,"Pizza, Beverages, Ice Cream",Banashankari,Basavanagudi,Poor
The Sky Lounge - Tamarind Hospitality,Bar,3.7,40,1200.0,No,No,"North Indian, South Indian, Chinese, Continental",Kalyan Nagar,Banaswadi,Good
The Smoke Co.,Casual Dining,4.3,516,2500.0,Yes,Yes,"American, European","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Very nice
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Casual Dining,3.8,176,1350.0,No,Yes,"North Indian, Afghan",Jayanagar,Jayanagar,Good
The Souk,Cafe,3.7,66,800.0,Yes,No,"Cafe, Mediterranean, Italian, Pizza, Continental",Brigade Road,Ulsoor,Good
The South,Quick Bites,3.7,21,200.0,No,No,South Indian,Whitefield,Whitefield,Good
The Spice Bazaar,"Casual Dining, Bar",4.2,332,1000.0,No,Yes,"North Indian, Mughlai",Brigade Road,Lavelle Road,Very nice
The Spice Box,Casual Dining,3.6,30,800.0,No,No,"North Indian, South Indian",Indiranagar,Old Airport Road,Good
The Spice Factory,Casual Dining,3.1,29,550.0,Yes,No,"North Indian, Mughlai, Chinese",Hsr,Hsr,Average
The Spice Pavillion,Casual Dining,3.7,125,600.0,Yes,No,North Indian,Brookefield,Marathahalli,Good
The Spice Saga,Casual Dining,3.7,124,750.0,Yes,No,"Biryani, North Indian, Chinese, Seafood",Banashankari,Kumaraswamy Layout,Good
The Spicy Kitchen,Quick Bites,3.1,17,300.0,Yes,No,"Arabian, Rolls",Old Airport Road,Thippasandra,Average
The Square - Novotel,Fine Dining,4.3,760,2500.0,No,Yes,"Continental, North Indian, Japanese, Italian",Bellandur,Marathahalli,Very nice
The Square Table,Casual Dining,4.2,560,1000.0,Yes,Yes,"North Indian, Maharashtrian, South Indian",Brookefield,Whitefield,Very nice
The Story Wall Bistro,Casual Dining,3.7,18,600.0,No,No,"Italian, Continental",Kalyan Nagar,Banaswadi,Good
The Street Kitchen,Quick Bites,3.7,16,300.0,Yes,No,"North Indian, Fast Food, Chinese, Beverages",Malleshwaram,New Bel Road,Good
The Studio Bar,Lounge,4.0,775,1400.0,No,No,"Italian, American, North Indian",Malleshwaram,Malleshwaram,Very nice
The Studio Cafe,Cafe,3.8,20,400.0,No,No,"Cafe, Beverages",Basavanagudi,Jayanagar,Good
The Sugar Factory - Le Meridien,Club,3.9,628,2000.0,No,No,Finger Food,Lavelle Road,Sankey Road,Good
The Sugar Fairy,Bakery,4.3,241,100.0,No,No,"Bakery, Desserts",Frazer Town,Frazer Town,Very nice
The Sugar Therapy,"Dessert Parlor, Bakery",3.8,25,500.0,No,No,"Desserts, Bakery",Brigade Road,Richmond Road,Good
The Sweet Spot,Dessert Parlor,4.0,157,300.0,No,No,Desserts,Koramangala 4Th Block,Koramangala 6Th Block,Very nice
The Table,Bakery,3.8,42,400.0,Yes,No,"Bakery, Desserts",Old Airport Road,Indiranagar,Good
The Taj Hotel,Quick Bites,3.5,12,350.0,No,No,"Biryani, Mughlai",Basavanagudi,City Market,Good
The Tandoori Chai,Quick Bites,3.9,60,400.0,Yes,No,"North Indian, Fast Food, Street Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr,Good
The Tao Terraces,Casual Dining,3.9,1937,2100.0,Yes,Yes,"Thai, Japanese, Korean, Burmese, Chinese",Lavelle Road,Mg Road,Good
The Taste Adda,Quick Bites,2.8,40,200.0,No,No,"North Indian, Fast Food, Beverages",Brigade Road,Ulsoor,Poor
The Taste Players,Casual Dining,3.7,51,500.0,Yes,No,"North Indian, Chinese, Mughlai, Biryani",Whitefield,Whitefield,Good
The Teal Door Cafe,Cafe,4.2,1852,800.0,Yes,No,"Cafe, Continental",Indiranagar,Indiranagar,Very nice
The Terminus - The Oterra,Lounge,4.0,119,2500.0,No,Yes,"Finger Food, Continental",Electronic City,Electronic City,Very nice
The Terrace at Gilly's Redefined,"Microbrewery, Casual Dining",4.5,905,1400.0,No,Yes,"Continental, Finger Food, Asian, North Indian",Koramangala 6Th Block,Koramangala 4Th Block,Very nice
The Terrace at Windmills Craftworks,Casual Dining,4.1,450,1800.0,No,No,North Indian,Brookefield,Whitefield,Very nice
The Thali Company,"Takeaway, Delivery",3.3,7,600.0,No,No,"North Indian, Lucknowi",Hsr,Hsr,Average
The ThickShake Factory,Beverage Shop,2.8,19,350.0,Yes,No,"Beverages, Juices",Brigade Road,Cunningham Road,Poor
The Three Dragons,Delivery,3.3,5,400.0,No,No,Chinese,Electronic City,Electronic City,Average
The Tiffin Express,Quick Bites,2.6,16,250.0,No,No,South Indian,Koramangala 4Th Block,Koramangala 4Th Block,Poor
The Tiny Taproom,"Bar, Casual Dining",2.8,40,800.0,No,No,"South Indian, North Indian, Chinese, Thai",Indiranagar,Indiranagar,Poor
The Tower Of Pizza,Quick Bites,2.9,16,500.0,No,No,"Pizza, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Poor
The Trundle,Casual Dining,3.7,133,700.0,Yes,No,"Chinese, Thai, Continental, North Indian",Banashankari,Jayanagar,Good
The Tucck Box,Quick Bites,3.4,7,300.0,No,No,"Chinese, South Indian",Jp Nagar,Jp Nagar,Average
The Twenty Handmade Chocolates,Confectionery,3.8,30,300.0,Yes,No,Desserts,Hsr,Hsr,Good
The Twisted Desi,Casual Dining,2.8,40,1000.0,Yes,Yes,"Continental, Italian, North Indian, Chinese",Frazer Town,Indiranagar,Poor
The Underground Gastropub,Pub,3.0,37,1000.0,No,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
The Underpass Pub & Grub,"Pub, Casual Dining",4.0,720,1500.0,No,Yes,"Finger Food, Continental, North Indian, Chinese",Jp Nagar,Jp Nagar,Very nice
The Upper Deck - Raaj Residency,Casual Dining,3.6,35,800.0,Yes,No,"North Indian, Chinese",Basavanagudi,Basavanagudi,Good
The Urban Roof,Casual Dining,3.6,80,800.0,Yes,No,"Italian, Chinese, Continental",Kammanahalli,Kalyan Nagar,Good
The US Burger,Quick Bites,3.0,13,150.0,No,No,Fast Food,Electronic City,Electronic City,Average
The Vacationer's Cafe,Cafe,4.1,306,600.0,Yes,No,"Cafe, Continental, Mexican","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Very nice
The Vape,Casual Dining,4.0,600,800.0,Yes,No,"Asian, Beverages",Bellandur,Hsr,Very nice
The Velu's,Kiosk,3.6,12,200.0,No,No,"Fast Food, Chinese",Indiranagar,Domlur,Good
The Village Hotel,Quick Bites,3.5,14,450.0,Yes,No,Kerala,"Byresandra,Tavarekere,Madiwala",Hsr,Good
The Village Restaurant,Quick Bites,3.0,9,200.0,No,No,"North Indian, Chinese",Whitefield,Whitefield,Average
The Vintage Cafe,Cafe,3.0,62,400.0,Yes,No,"Cafe, French, North Indian",Banashankari,Banashankari,Average
The Waffcake Legacy,Dessert Parlor,4.0,167,350.0,Yes,No,"Desserts, Street Food, Sandwich, Beverages",Brookefield,Marathahalli,Very nice
The Waffle Press,Dessert Parlor,4.2,122,400.0,Yes,No,"Desserts, Ice Cream",Mg Road,St. Marks Road,Very nice
The Waffle Street,"Quick Bites, Dessert Parlor",3.9,46,300.0,Yes,No,"Continental, Beverages, Burger, Coffee, Desserts","Byresandra,Tavarekere,Madiwala",Hsr,Good
The Waffle Yard,"Dessert Parlor, Quick Bites",4.2,149,300.0,No,No,"Desserts, Fast Food",New Bel Road,New Bel Road,Very nice
The Waffles Hut,Dessert Parlor,3.6,17,400.0,Yes,No,Desserts,Malleshwaram,Malleshwaram,Good
The Waverly Express,Cafe,3.5,12,650.0,No,No,Cafe,Whitefield,Whitefield,Good
The Whiskey Bar,Bar,3.7,43,2800.0,No,Yes,"Finger Food, North Indian",Brigade Road,Race Course Road,Good
The White Room - Coffee & Kitchen,Cafe,4.0,1701,1000.0,No,Yes,"Cafe, Continental, American, Desserts",Brigade Road,Church Street,Very nice
The Whitefield Arms Pub & Microbrewery,"Pub, Microbrewery",4.2,1113,1600.0,Yes,Yes,"British, Continental, Bbq",Whitefield,Whitefield,Very nice
The Wicked Cup,Cafe,3.9,56,350.0,No,No,"Cafe, Sandwich, Fast Food, Beverages, Desserts",Hsr,Hsr,Good
The Wok,Food Court,2.8,89,500.0,Yes,No,"Chinese, Momos",Brookefield,Whitefield,Poor
The Wok Shop,Quick Bites,3.4,7,500.0,Yes,No,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",Brigade Road,Ulsoor,Average
The World Cafe,Cafe,3.8,31,600.0,No,No,Cafe,Malleshwaram,Malleshwaram,Good
The Yellow Chilli,Casual Dining,3.8,583,1200.0,Yes,Yes,"North Indian, Mughlai, Biryani",Jayanagar,Jayanagar,Good
The Yellow Submarine,"Microbrewery, Casual Dining",4.4,2075,1200.0,No,Yes,"Continental, North Indian, Chinese, Pizza, Thai",Jp Nagar,Bannerghatta Road,Very nice
The Yellow Tuk-Tuk Cafe,Cafe,3.6,16,500.0,No,No,"Cafe, Continental, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Good
The Yogisthaan Cafe,Cafe,4.1,60,600.0,Yes,No,"Cafe, Healthy Food, Salad, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 2Nd Block,Very nice
The Yummy Box,Quick Bites,3.8,28,200.0,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,Good
The Yummy Tummy,Quick Bites,3.5,13,200.0,No,No,"North Indian, Street Food",Bannerghatta Road,Bannerghatta Road,Good
The Zaika Of Banaras,Quick Bites,3.3,26,350.0,Yes,No,"North Indian, Street Food",Marathahalli,Marathahalli,Average
Theeram Restaurant,Quick Bites,3.8,46,400.0,Yes,No,"North Indian, Kerala",Sarjapur Road,Sarjapur Road,Good
Thejas Bhavan,Quick Bites,3.5,27,400.0,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Good
TheRiceBowl.In,Takeaway,3.4,19,200.0,Yes,No,"Biryani, North Indian",Bannerghatta Road,Btm,Average
TherPUP - a Dog Cafe,Cafe,4.2,1012,700.0,No,No,Cafe,Whitefield,Whitefield,Very nice
Thindi Mane,Quick Bites,3.4,6,300.0,No,No,South Indian,Jp Nagar,Jp Nagar,Average
Thindi Palace,Casual Dining,3.1,61,600.0,No,No,"North Indian, South Indian, Chinese",Rajajinagar,Basaveshwara Nagar,Average
Third Wave Coffee Roasters,Cafe,2.8,40,800.0,No,No,"Cafe, Continental, Desserts",Brookefield,Whitefield,Poor
Third Wave Coffee Roasters @ The Bohemian House,Cafe,2.8,40,800.0,No,No,"Cafe, Continental, Desserts",Lavelle Road,Richmond Road,Poor
Thirsty Tiger,"Bar, Casual Dining",3.5,51,1300.0,No,Yes,"Continental, Finger Food",Bannerghatta Road,Jp Nagar,Good
Thiruvithamkoor Restaurant,Quick Bites,3.3,294,400.0,Yes,No,"Kerala, Seafood, South Indian, Biryani",Bellandur,Sarjapur Road,Average
This Cafe Has No Name Cafe,Cafe,3.2,79,500.0,Yes,No,"Cafe, Beverages",Electronic City,Electronic City,Average
Thom's Bakery,"Bakery, Quick Bites",4.1,211,200.0,No,No,"Bakery, Fast Food",Brigade Road,Frazer Town,Very nice
Thomson's Bakery,Bakery,3.5,7,300.0,No,No,Bakery,Frazer Town,Frazer Town,Good
Thottathil Restaurant,Quick Bites,3.8,69,300.0,No,No,"Kerala, South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Btm,Good
Thran,Casual Dining,4.2,308,1300.0,No,Yes,Korean,Kalyan Nagar,Kalyan Nagar,Very nice
Thran Bakery,Bakery,3.6,8,600.0,No,No,"Bakery, Desserts, Beverages",Kalyan Nagar,Kalyan Nagar,Good
Three Dots & A Dash,"Bar, Casual Dining",4.3,1196,1500.0,No,Yes,"European, Continental",Bannerghatta Road,Jp Nagar,Very nice
Thrilok Restaurant,Quick Bites,3.4,9,350.0,No,No,"Mangalorean, Seafood",Banashankari,Banashankari,Average
ThrowBack - Pub & Dine,"Bar, Casual Dining",3.9,234,1000.0,No,No,"Italian, North Indian, Continental",Brigade Road,Langford Town,Good
Thrupthi Restaurant,Quick Bites,3.4,15,150.0,No,No,Kerala,Bannerghatta Road,Bannerghatta Road,Average
Thunder Fried Chicken,Quick Bites,3.6,179,350.0,Yes,No,"North Indian, Biryani, Mughlai, Rolls",Indiranagar,Jeevan Bhima Nagar,Good
T-hut Cafe,Quick Bites,3.6,21,300.0,Yes,No,"Chinese, Beverages",Kalyan Nagar,Banaswadi,Good
Thyme & Whisk,Casual Dining,2.8,40,800.0,Yes,No,"Asian, Chinese, Continental, Italian",Basavanagudi,Jayanagar,Poor
Tiamo - Conrad Bengaluru,Fine Dining,4.2,139,2500.0,No,Yes,"Italian, Mediterranean",Indiranagar,Ulsoor,Very nice
Tibbs Frankie,Quick Bites,2.9,17,200.0,No,No,"Street Food, Rolls",Whitefield,Whitefield,Poor
Tibetan Kitchen,Quick Bites,4.3,245,600.0,Yes,No,"Tibetan, Chinese, Continental, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Tibetan Mother's Kitchen,Casual Dining,4.0,957,500.0,Yes,No,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Very nice
Tiffanys,Casual Dining,2.9,31,1000.0,No,No,"Continental, Italian, Chinese",Brigade Road,Shanti Nagar,Poor
Tiffin Box,"Takeaway, Delivery",2.8,40,200.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Poor
Tiffin Inn's,Quick Bites,3.7,24,250.0,Yes,No,South Indian,Marathahalli,Marathahalli,Good
Tiffin Room - Miraya Hotel & Residences,Fine Dining,3.7,138,2000.0,No,Yes,"North Indian, South Indian, Asian",Whitefield,Whitefield,Good
Tiffinwala,"Takeaway, Delivery",2.8,40,500.0,Yes,No,"North Indian, Chinese",Indiranagar,Indiranagar,Poor
Tiffun,Quick Bites,3.9,83,300.0,Yes,No,North Indian,Indiranagar,Cv Raman Nagar,Good
Tiger Trail - Ramada Hotel,"Casual Dining, Bar",4.0,188,1300.0,Yes,Yes,"North Indian, Lucknowi",Brigade Road,Shivajinagar,Very nice
Tiger Trail - Royal Orchid Hotel,Fine Dining,4.1,303,2000.0,No,Yes,North Indian,Indiranagar,Old Airport Road,Very nice
Tijouri,Fine Dining,4.0,70,2800.0,No,Yes,"North Indian, Mughlai",Brigade Road,Race Course Road,Very nice
Tikka Kebab,Quick Bites,3.7,69,250.0,Yes,No,"Kebab, North Indian, Chinese",Electronic City,Electronic City,Good
Till The Last Bite,Quick Bites,3.4,7,300.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,Average
Tilt Gastro Lounge,"Lounge, Casual Dining",4.1,1235,1500.0,No,Yes,"Continental, American, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Tim Cafe,Cafe,3.6,39,250.0,Yes,No,"Cafe, Sandwich, Beverages",Brookefield,Marathahalli,Good
Tim Tai,Casual Dining,4.4,3667,1400.0,Yes,Yes,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Time Traveller - Sai Vishram,Casual Dining,4.2,882,1100.0,Yes,No,"Continental, North Indian, South Indian, Chinese",Electronic City,Electronic City,Very nice
Timepass Dinner,Casual Dining,3.8,286,600.0,Yes,No,North Indian,Banashankari,Basavanagudi,Good
Tintin Da Dhaba,Casual Dining,3.4,7,500.0,No,No,North Indian,Marathahalli,Marathahalli,Average
Tippler,Pub,4.2,2901,1300.0,No,Yes,"Russian, Continental, North Indian",Indiranagar,Indiranagar,Very nice
Tipsy Bull - The Bar Exchange,"Bar, Casual Dining",4.4,2182,1400.0,Yes,Yes,"North Indian, Chinese, Continental, Mexican",Bellandur,Bellandur,Very nice
Tisano Cafe,Cafe,3.8,54,500.0,Yes,No,"Cafe, Fast Food, Chinese, Continental",Bannerghatta Road,Bannerghatta Road,Good
Tiwari's,Quick Bites,3.8,69,200.0,Yes,No,"North Indian, Street Food",Jayanagar,Jayanagar,Good
Tiwari's Ghee Paratha and Chats,Quick Bites,3.2,6,200.0,Yes,No,"North Indian, Street Food",Bannerghatta Road,Jp Nagar,Average
TLP Cafe,Cafe,3.9,250,400.0,Yes,No,"Cafe, Italian",Malleshwaram,Malleshwaram,Good
Toast & Tonic,Casual Dining,4.6,1082,1500.0,No,Yes,"European, Asian",Brigade Road,Richmond Road,Very nice
Toast And Salad,Quick Bites,3.5,25,300.0,Yes,No,Healthy Food,New Bel Road,New Bel Road,Good
Today Coffee,Quick Bites,2.8,40,150.0,Yes,No,South Indian,Electronic City,Electronic City,Poor
