restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
Kinara Tiffany,Quick Bites,3.6,15,100.0,No,No,South Indian,Church Street,Vasanth Nagar,Good
King,Quick Bites,3.7,570,300.0,Yes,No,"North Indian, Chinese",Electronic City,Electronic City,Good
King Burger Cafeteria,Quick Bites,3.1,11,250.0,No,No,"Fast Food, Juices",Indiranagar,Indiranagar,Average
King Kong,Quick Bites,3.8,63,300.0,No,No,"Chinese, Momos",Frazer Town,Frazer Town,Good
King Of Spices,Casual Dining,3.7,25,500.0,Yes,No,"South Indian, North Indian, Chinese, Biryani, Beverages",Brookefield,Whitefield,Good
King Punjabi Restaurant,Quick Bites,3.8,52,300.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Good
Kingley Grand,Casual Dining,3.5,11,600.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Marathahalli,Good
King's Appetite,"Food Court, Quick Bites",3.7,45,500.0,Yes,No,"North Indian, Chinese",Electronic City,Electronic City,Good
Kings Court,Casual Dining,3.1,12,800.0,Yes,No,"North Indian, Mughlai, Chinese",Kalyan Nagar,Kalyan Nagar,Average
Kings Kitchen,Delivery,3.3,7,500.0,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average
Kinpeetos,Quick Bites,3.9,64,300.0,Yes,No,"Lebanese, Greek","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Good
Kirthi's Biryani,Cafe,3.8,144,700.0,Yes,No,"Chinese, Cafe, Italian",Banashankari,Banashankari,Good
Kishi's Cafe,Quick Bites,3.5,14,500.0,Yes,No,"Fast Food, Street Food",New Bel Road,Sahakara Nagar,Good
Kisna Cafe,Quick Bites,3.5,11,300.0,Yes,No,"South Indian, North Indian",Indiranagar,Old Airport Road,Good
Kitchen Aroma,Takeaway,3.4,7,400.0,No,No,Desserts,Brookefield,Whitefield,Average
Kitchen Boy,"Takeaway, Delivery",2.8,40,300.0,No,No,"North Indian, Fast Food",Sarjapur Road,Sarjapur Road,Poor
Kitchen Garden,Quick Bites,3.6,244,300.0,Yes,No,"North Indian, Chinese",Banashankari,Kumaraswamy Layout,Good
Kitchen Katta,Quick Bites,4.1,196,300.0,Yes,No,Maharashtrian,Malleshwaram,Sanjay Nagar,Very nice
Kitchen King,Quick Bites,3.8,306,400.0,Yes,No,"Rolls, Fast Food, Biryani",Kalyan Nagar,Nagawara,Good
Kitchen King Naati Style,Casual Dining,3.8,27,500.0,Yes,No,South Indian,Malleshwaram,Rajajinagar,Good
Kitchen of Joy,Casual Dining,3.8,210,500.0,No,No,"Bengali, North Indian, Chinese, Rolls",Marathahalli,Kaggadasapura,Good
Kitchen On Table,Casual Dining,4.0,45,1500.0,Yes,No,"Japanese, Sushi, Asian",Indiranagar,Brigade Road,Very nice
Kitchen Online,"Takeaway, Delivery",3.3,6,300.0,No,No,North Indian,Brookefield,Whitefield,Average
Kitchen Rabbit,Quick Bites,3.6,18,500.0,Yes,No,"North Indian, Chinese, Andhra",Brookefield,Whitefield,Good
